392 469
75 93 440869407
270 370 900662830
56 87 575498072
228 391 803007156
297 318 683659507
68 231 801223588
5 33 1000000000
112 231 608211164
211 274 1000000000
40 64 776801198
35 247 408698280
263 287 712038261
44 249 309255264
145 272 226807713
5 322 1000000000
123 316 236100991
147 165 1000000000
252 355 949097228
128 221 405371010
18 131 544247524
286 314 1000000000
269 343 850528094
315 387 952439373
36 114 642176100
183 385 343457301
51 112 107016712
42 125 1000000000
127 130 418935845
105 159 462785791
198 335 530251458
212 321 549334093
87 270 66070837
107 265 243224159
35 196 370531555
209 358 462049197
248 280 215957581
264 316 3150353
96 202 467063491
365 371 579894739
260 285 211235564
53 185 805583501
349 391 464985195
10 367 777030592
247 290 869694005
211 304 1000000000
120 231 252793400
134 175 1000000000
100 180 124091708
302 339 1000000000
343 381 531779154
147 275 829773188
240 293 812271125
250 354 376524970
103 357 997503215
242 296 820338900
259 312 236173422
17 171 759511988
234 296 496440654
172 261 257857733
154 389 777630256
283 285 690556773
36 229 769777347
223 359 333156705
220 256 273810838
116 329 544706076
38 114 877656577
59 162 270191636
101 239 1000000000
56 107 456390443
299 388 742629882
44 389 937016814
33 307 1000000000
93 360 997480558
324 350 981977716
184 193 736481688
46 163 539694791
170 194 771030538
3 349 822084057
83 122 147548082
259 298 586054288
75 184 998781347
301 372 145714152
79 240 623934253
6 69 1000000000
21 59 673256199
366 373 687181660
173 259 855247765
54 386 413734460
289 334 764289384
41 293 672190702
266 337 676003419
71 324 201683192
48 139 1000000000
265 362 942238416
245 270 172966562
23 67 720209559
93 332 414361701
12 265 211244888
65 306 111923341
125 153 1000000000
45 250 770349815
28 61 169653384
138 342 1000000000
149 327 997885917
212 227 64080282
63 391 253664990
109 187 783594600
4 342 1000000000
20 372 942297323
56 219 281432324
274 374 1000000000
266 385 360583156
9 129 296831495
9 230 930063214
92 178 595087
221 250 582527676
43 200 718933908
32 320 38293481
113 294 865585517
1 83 740278338
263 345 664489933
47 86 603188184
128 341 785580213
155 157 792203285
68 228 215796034
151 202 796747248
11 161 527126251
100 161 487430565
190 249 781428528
66 377 669406279
74 346 1000000000
208 348 679525648
31 126 46470181
71 229 454430907
197 295 267256533
2999
3
78 157 198
2
37 293
3
344 416 428
1
169
4
96 236 344 458
2
90 436
2
346 389
3
113 276 347
3
55 142 451
1
260
1
413
4
105 133 198 332
3
47 253 411
2
324 342
3
33 256 380
2
12 242
4
69 200 218 219
3
336 380 412
2
99 178
3
21 191 441
1
340
2
95 103
1
266
1
274
1
395
1
168
1
144
4
216 305 306 327
2
12 186
1
99
4
104 210 290 346
2
178 185
5
42 113 240 327 371
1
283
3
73 91 184
3
3 194 243
4
114 143 408 441
2
388 424
1
372
4
72 116 245 396
4
74 93 118 433
3
218 364 459
5
17 88 284 362 401
2
101 424
1
77
5
58 121 153 194 265
5
191 220 321 386 452
5
11 156 205 280 285
1
251
2
5 71
4
176 252 293 320
3
194 258 281
2
35 69
1
112
4
46 210 336 382
1
62
2
1 360
1
67
2
87 163
1
311
4
42 115 240 389
4
276 306 307 410
2
292 448
2
225 386
5
42 96 275 302 365
2
368 441
1
332
5
30 117 162 245 307
5
181 193 200 219 345
2
247 438
2
57 289
1
242
3
68 143 419
1
399
2
156 354
3
272 320 413
5
35 70 92 408 415
4
104 319 359 459
4
219 387 405 424
2
157 198
2
116 258
4
5 160 237 274
4
191 230 256 464
4
146 273 329 391
2
153 165
4
49 111 233 269
5
46 54 88 275 459
3
53 292 310
2
234 291
3
71 183 329
1
364
2
426 468
3
84 348 444
1
342
5
38 53 293 330 469
1
262
5
26 173 312 354 393
1
460
3
1 72 391
1
66
1
316
4
10 235 338 364
2
79 435
2
323 446
1
199
3
36 70 400
1
447
3
202 289 391
5
21 195 258 296 322
3
153 384 425
3
20 191 286
4
119 165 275 316
3
104 171 348
4
134 284 364 426
1
395
1
199
2
192 220
4
108 269 375 415
5
75 146 224 392 461
3
307 334 336
5
15 35 49 249 414
4
14 174 181 336
5
1 92 403 415 448
2
132 400
1
344
2
13 423
1
98
3
316 375 436
3
233 285 366
1
210
1
199
2
85 264
4
106 260 278 350
3
139 284 446
5
256 291 312 440 469
5
298 299 320 330 347
5
116 194 273 293 370
1
266
4
24 156 216 329
2
185 225
5
197 265 273 319 339
3
19 25 96
5
84 214 320 332 353
2
64 384
3
186 191 212
1
90
1
421
2
71 187
4
3 54 163 239
3
190 206 375
3
291 363 410
3
265 297 378
3
92 251 320
2
209 407
2
113 241
4
134 162 181 449
3
4 19 373
5
104 159 202 373 462
1
225
1
414
5
72 73 272 316 329
5
181 194 365 416 429
2
290 451
1
304
2
46 332
1
67
1
58
3
190 371 376
3
194 318 459
3
205 226 447
5
120 163 169 354 460
4
24 102 319 466
5
90 173 212 220 261
4
75 225 430 431
2
149 168
5
154 252 296 369 419
3
77 137 360
5
49 116 252 414 424
5
77 113 339 350 439
4
59 242 391 401
3
189 197 334
4
148 209 293 326
3
20 80 382
3
161 195 369
1
176
4
223 226 358 433
2
103 120
1
435
1
321
1
393
1
10
1
347
4
57 190 310 362
3
140 205 280
1
142
2
262 329
2
115 363
3
72 113 463
2
60 304
2
322 455
3
202 212 360
3
88 342 365
3
106 226 301
1
252
2
448 452
3
74 163 320
4
39 255 336 356
1
74
5
266 318 433 448 450
3
253 280 321
2
13 63
4
17 200 359 371
1
438
2
29 157
4
144 216 236 405
4
89 215 235 277
2
337 366
2
296 301
2
38 226
2
420 428
3
135 223 446
1
8
5
95 115 117 336 405
2
98 456
2
236 324
5
93 140 237 317 415
2
121 239
2
6 430
3
132 189 254
3
173 259 267
4
48 369 387 409
3
94 320 461
1
415
2
100 333
2
299 392
3
112 132 291
2
116 409
4
144 173 415 423
5
93 101 246 356 388
2
162 335
3
7 46 333
5
5 106 264 387 395
5
37 200 324 392 467
4
62 159 214 256
3
62 77 235
4
65 82 288 347
5
131 170 214 274 369
2
49 449
3
156 254 397
3
55 66 391
2
13 17
5
41 170 180 188 244
1
178
2
365 368
5
26 50 205 272 380
5
61 80 315 329 330
3
44 221 230
5
130 158 159 198 433
4
149 276 283 376
1
275
3
294 363 436
2
80 334
3
27 137 255
5
72 169 277 283 405
2
130 236
3
73 187 407
3
238 253 263
3
74 425 447
1
335
4
59 112 239 425
2
53 157
1
217
5
20 263 306 307 322
4
157 330 447 449
5
127 132 225 440 455
5
32 63 168 194 419
3
178 253 366
5
13 94 263 292 410
2
64 345
5
173 235 385 390 409
1
373
5
34 45 317 394 412
3
73 86 357
3
25 66 353
2
96 255
3
205 214 466
1
358
1
285
1
160
3
98 134 245
4
149 214 318 357
5
31 89 195 240 362
3
107 305 310
4
114 116 313 433
2
12 219
2
259 318
2
200 380
1
256
2
274 310
1
446
2
219 354
1
421
1
462
2
134 312
1
252
1
132
1
439
4
41 62 328 340
3
119 263 457
3
175 256 312
2
62 397
2
78 149
1
44
1
246
3
63 153 251
2
288 329
4
101 185 245 340
5
209 265 291 326 388
5
54 95 157 245 386
4
221 255 321 387
1
221
3
184 335 396
4
78 132 181 320
1
327
5
33 166 259 260 310
4
44 57 133 186
2
130 142
3
19 90 342
5
12 237 308 335 339
1
274
2
106 320
3
27 108 415
2
250 292
5
48 185 192 278 357
5
45 195 258 353 412
1
12
2
238 394
2
161 300
5
6 12 155 224 324
5
4 137 315 316 429
1
463
1
127
4
60 281 293 322
1
20
4
128 200 323 328
5
3 27 79 148 453
4
100 276 331 375
4
82 185 231 342
1
461
3
57 224 455
5
210 241 248 262 277
1
462
3
95 277 401
4
238 372 419 439
3
25 294 364
3
62 184 367
2
392 393
4
110 115 173 322
4
14 55 88 239
1
300
5
146 153 249 260 382
2
246 320
4
3 5 247 284
4
175 373 401 407
4
10 108 265 316
4
177 247 267 331
2
326 352
4
50 78 171 253
1
142
2
158 420
1
170
1
92
3
111 140 227
1
150
1
194
3
375 376 441
4
36 205 374 420
5
58 165 242 336 448
5
92 217 330 332 467
4
201 230 388 399
3
108 262 290
3
79 197 448
2
12 320
4
9 267 299 400
1
225
3
163 185 220
3
36 190 249
5
9 26 209 308 326
1
125
3
64 308 333
3
277 365 432
4
10 127 221 265
1
112
3
211 301 422
1
452
5
147 290 354 423 446
1
69
3
74 141 455
5
53 117 219 306 414
5
69 114 115 173 231
2
28 79
2
149 261
3
251 345 430
3
157 158 176
2
126 425
1
370
3
431 466 468
3
137 250 308
1
319
2
189 364
1
291
5
1 63 154 236 458
3
108 212 317
2
333 403
2
26 304
2
367 420
5
37 86 153 296 405
1
283
3
33 94 318
3
317 350 457
4
49 163 375 439
3
11 367 375
5
15 128 197 215 248
5
200 314 331 453 455
2
412 456
4
94 192 255 284
2
247 345
2
142 188
2
55 337
4
46 237 391 407
4
41 249 265 452
2
49 153
5
91 95 236 251 425
2
15 377
3
35 44 186
3
93 189 362
4
15 146 147 206
1
449
5
62 110 219 378 413
1
30
1
217
2
189 290
3
64 368 440
1
264
5
221 235 252 371 435
1
277
2
82 298
1
219
1
110
5
51 135 200 354 448
1
205
2
131 236
1
47
3
188 415 462
4
39 223 339 411
3
297 321 440
2
69 277
5
139 159 302 314 331
3
82 244 332
4
24 119 250 413
3
114 297 385
4
89 110 161 339
2
368 410
4
148 332 369 378
5
195 249 386 451 468
1
34
5
98 131 181 385 469
5
162 181 288 398 426
2
302 346
3
100 384 463
2
46 218
2
50 401
1
458
5
19 29 170 299 323
5
139 155 187 356 425
1
53
1
466
1
334
2
304 390
5
6 150 155 346 446
5
173 201 248 421 469
1
419
1
365
5
130 244 261 289 425
4
78 94 158 178
2
210 424
5
15 130 176 248 386
1
127
1
142
3
32 226 380
3
90 141 168
1
171
2
58 367
5
11 364 369 416 431
1
408
3
275 290 429
3
79 342 389
5
48 212 223 317 401
1
197
1
223
5
142 166 316 338 367
2
279 399
3
61 186 194
4
75 133 231 285
5
50 130 363 433 450
1
288
1
119
1
275
5
31 159 211 362 431
3
29 209 428
2
65 333
2
9 251
4
37 69 174 186
1
93
1
24
4
39 49 146 150
3
1 131 141
1
457
4
17 110 198 380
4
115 297 333 438
1
323
4
103 205 342 393
1
174
5
142 155 217 276 334
1
65
1
258
3
40 247 257
3
55 214 296
4
15 219 263 323
2
8 133
5
42 211 290 302 444
4
79 166 177 209
3
31 62 417
2
22 224
2
9 32
3
39 159 365
3
202 293 352
4
53 86 126 188
2
36 330
2
175 392
5
4 117 146 264 388
4
6 101 153 386
3
22 67 457
5
9 10 70 220 327
1
308
3
111 405 439
5
56 63 91 225 413
4
114 150 223 414
1
114
3
16 188 304
3
83 150 292
3
170 264 318
2
24 333
3
59 61 141
2
8 111
3
114 305 367
3
112 290 317
1
223
1
448
3
20 50 105
5
110 297 366 369 380
2
144 382
1
149
5
32 289 322 375 392
1
29
4
150 214 306 433
3
187 202 353
4
33 162 301 352
3
79 217 264
1
30
3
87 180 371
2
153 308
1
212
3
93 106 333
5
37 101 102 265 272
5
9 194 251 256 364
1
13
4
32 209 306 386
4
80 121 385 412
2
192 262
3
301 340 433
5
7 24 216 275 431
2
67 174
1
247
1
443
1
137
5
68 73 278 286 307
1
395
3
8 170 345
2
14 298
5
65 110 148 348 382
2
219 300
1
115
5
15 51 99 106 154
5
12 63 159 242 280
3
14 119 365
5
15 83 260 313 393
1
37
4
169 342 348 380
4
21 239 257 289
3
5 193 420
3
202 317 411
4
25 192 201 317
3
29 158 450
3
4 125 380
2
17 116
3
11 201 320
3
100 225 294
5
74 312 321 354 378
1
12
1
177
1
277
5
9 41 409 429 433
2
79 212
2
36 366
4
5 27 163 171
4
281 322 375 414
2
148 255
3
20 200 374
4
63 146 276 280
5
21 37 378 441 467
5
247 339 352 397 414
2
235 245
5
62 63 133 270 431
3
17 34 367
5
186 221 254 415 441
1
83
1
270
3
57 161 193
2
191 464
5
58 267 275 322 362
3
178 338 350
3
64 69 359
3
33 153 409
2
344 438
4
94 189 228 272
5
25 199 257 348 370
2
197 200
2
86 238
2
198 277
5
166 327 415 439 450
5
126 200 238 324 352
3
12 163 368
4
241 265 317 380
5
53 71 226 233 251
2
201 249
5
88 107 244 369 457
5
13 92 105 117 375
3
25 153 323
1
438
1
33
1
20
4
198 211 252 404
1
177
5
26 84 177 242 399
1
100
5
57 69 116 259 360
5
17 180 205 220 323
2
54 158
3
31 51 120
2
272 444
5
104 128 272 276 297
3
75 297 365
3
304 423 440
2
135 417
4
99 292 328 410
2
216 228
3
10 169 278
4
3 91 202 223
1
41
5
91 132 171 212 317
1
305
5
199 224 252 448 458
4
235 444 460 468
3
28 198 394
3
55 254 334
5
90 382 426 433 453
3
115 401 435
3
46 143 407
2
186 337
4
63 217 299 347
3
26 39 308
3
3 22 255
4
67 98 188 266
5
85 337 366 424 430
3
54 121 190
5
113 194 247 286 337
1
423
5
25 63 139 165 187
3
71 330 424
4
21 51 84 202
2
32 117
1
33
2
345 441
4
115 206 252 322
2
6 339
2
73 409
2
183 304
5
231 305 333 428 449
1
166
5
101 156 240 242 305
4
5 82 139 316
3
7 220 244
4
132 140 264 266
1
424
4
26 291 307 315
5
22 133 166 231 281
3
82 242 327
2
50 376
2
117 250
3
1 239 307
4
116 165 228 457
3
33 85 177
4
5 68 98 159
1
276
3
283 377 424
5
247 296 311 428 436
3
275 313 461
2
154 377
5
12 33 115 196 401
4
46 80 241 428
3
11 12 397
3
236 252 454
3
103 170 433
5
47 175 199 200 319
5
11 224 257 302 308
3
87 218 374
4
53 187 252 464
2
214 464
2
24 255
3
38 82 314
1
367
2
364 411
3
202 332 348
2
12 100
4
71 194 311 407
4
54 264 375 403
2
42 419
5
44 119 137 286 385
2
49 386
1
242
1
148
5
8 50 194 230 248
5
67 112 176 251 293
5
119 147 264 366 452
5
37 191 296 411 435
3
28 389 398
4
83 118 173 279
4
64 248 311 389
3
285 370 411
4
137 188 258 370
4
45 296 359 387
1
148
1
255
4
110 228 233 269
5
4 162 297 370 374
1
384
1
446
2
307 377
3
15 36 316
2
50 133
4
125 214 228 279
3
246 255 256
4
125 170 189 291
4
17 209 254 386
1
6
4
46 102 211 293
2
30 241
3
61 221 449
4
5 281 327 408
4
8 162 391 433
2
57 120
3
270 342 359
3
168 197 263
2
245 260
1
262
3
56 234 448
4
83 103 417 454
5
16 404 413 450 452
1
190
5
16 224 281 419 462
2
86 99
4
50 93 240 440
3
6 69 414
3
200 224 256
2
144 171
3
238 334 376
3
10 206 447
4
245 293 360 429
5
9 40 210 398 415
1
155
4
260 262 279 420
5
70 104 108 184 311
1
284
3
131 177 407
2
78 407
4
108 260 297 371
3
168 283 289
5
74 142 187 237 460
2
37 347
4
63 112 261 279
1
14
3
161 288 365
3
248 375 460
4
79 134 200 374
1
4
4
65 261 393 416
1
453
4
49 89 264 284
1
400
4
80 380 449 451
1
313
2
94 267
5
165 191 220 413 439
5
190 195 365 409 466
4
25 44 162 428
5
21 58 193 201 265
4
198 279 317 366
4
44 142 156 297
5
64 181 262 318 344
5
38 80 102 321 323
4
22 306 429 463
3
39 333 414
5
143 173 233 255 333
2
279 448
5
117 252 283 365 378
4
175 257 328 385
3
187 304 450
4
25 53 65 89
2
192 250
4
39 90 220 242
5
78 139 197 327 374
4
87 137 240 335
1
202
5
12 75 133 293 433
4
100 107 219 461
4
24 180 206 375
5
5 55 66 233 345
4
62 63 230 236
1
56
4
49 143 187 233
2
29 391
1
180
2
253 454
4
11 245 246 449
3
237 288 422
4
80 214 247 259
1
376
5
184 316 371 374 448
4
155 273 291 363
4
78 128 137 195
1
246
4
30 68 375 443
5
153 159 228 230 331
5
44 49 258 318 416
1
260
3
3 64 79
2
121 300
1
252
2
370 380
2
8 116
2
443 460
1
364
3
77 260 275
4
60 146 189 285
2
45 128
3
298 400 461
4
51 92 264 443
1
16
2
313 448
5
48 67 178 247 360
4
83 149 399 454
5
250 298 306 463 469
5
41 226 314 377 409
5
56 78 126 242 247
1
419
2
350 376
4
40 256 257 344
3
9 164 261
2
72 134
4
7 19 335 428
4
235 356 384 431
1
340
3
94 226 350
1
270
3
74 86 425
1
322
2
248 411
5
6 42 119 457 467
3
34 399 449
2
87 401
4
7 33 46 419
3
86 99 447
5
25 104 227 256 324
3
99 233 410
5
158 190 195 248 425
5
35 220 255 432 469
3
35 166 420
5
6 244 267 304 310
3
29 66 169
3
32 231 296
5
99 102 245 312 428
4
44 286 365 378
3
28 299 316
1
133
2
25 257
4
137 256 305 390
3
233 289 377
2
453 456
2
335 404
3
16 101 292
1
455
3
51 389 451
3
40 149 359
2
56 153
5
34 169 183 329 443
2
84 420
3
65 335 394
2
5 206
3
205 214 279
1
39
3
106 258 272
2
354 432
1
205
1
131
5
17 48 187 318 368
3
225 378 440
1
269
3
175 274 377
3
153 410 439
3
297 334 358
4
67 169 399 441
1
168
2
22 160
1
27
1
96
4
94 320 323 453
1
279
4
56 69 166 382
1
20
5
163 165 259 457 466
4
75 93 96 433
1
190
4
19 192 263 390
5
50 256 358 389 439
3
34 93 135
4
210 292 344 469
5
142 234 238 269 452
5
84 88 111 146 159
1
6
5
12 89 192 276 364
5
87 149 210 299 360
2
318 394
1
38
1
302
2
215 405
4
103 211 286 468
2
148 258
4
24 42 372 403
4
1 286 397 436
3
98 147 370
3
185 337 358
5
22 330 377 388 429
3
53 209 280
4
9 153 199 254
1
365
1
461
3
201 315 426
4
73 215 429 469
3
103 225 392
4
3 233 386 446
5
133 148 161 175 298
1
435
3
189 353 430
5
40 65 159 245 435
1
189
2
300 371
2
154 269
1
105
3
321 350 365
4
143 246 365 458
1
45
2
14 73
4
96 189 417 467
2
60 142
4
236 373 426 441
2
96 397
4
6 230 357 382
3
111 169 274
3
92 202 388
4
56 105 293 469
2
175 344
1
417
5
46 103 346 374 440
3
48 70 153
2
285 319
1
245
4
297 315 356 358
5
22 80 125 186 270
5
38 137 216 446 451
2
95 280
4
135 183 324 431
1
92
1
302
5
60 115 266 270 326
5
13 22 264 413 414
5
26 72 161 281 421
4
35 300 306 320
4
30 211 290 350
3
190 227 346
3
253 376 401
5
82 211 247 440 443
1
286
2
58 219
3
89 171 399
3
72 339 348
3
48 79 243
2
252 259
1
34
1
259
4
143 317 420 443
1
135
4
6 166 338 466
5
35 110 237 346 430
3
130 260 444
4
48 112 189 197
2
56 441
3
89 181 230
2
113 296
2
165 329
4
230 345 413 432
1
149
5
11 57 60 314 410
1
171
3
13 119 411
4
115 247 279 314
4
14 195 221 261
3
118 236 460
3
17 25 259
2
392 426
5
139 143 193 200 403
3
274 304 467
3
283 312 446
1
105
4
53 105 357 373
3
3 279 398
2
212 292
5
94 95 142 292 317
5
15 193 246 301 376
3
140 378 444
2
312 393
3
70 73 338
1
170
3
63 146 330
5
14 73 87 369 455
4
6 139 377 460
3
11 34 432
4
184 199 276 363
4
85 147 190 469
1
463
4
106 374 440 447
5
38 77 159 372 431
2
27 49
1
457
1
391
4
12 135 140 206
1
378
5
19 62 169 285 400
3
272 329 337
1
326
1
270
2
238 257
4
39 114 199 335
5
156 210 291 329 384
5
55 73 175 322 367
4
67 135 411 438
1
440
5
27 61 144 262 452
5
89 95 336 347 462
2
120 233
2
105 250
2
258 364
3
154 165 451
2
305 370
5
53 112 244 358 364
5
103 183 198 327 461
4
55 149 181 195
4
193 234 243 347
1
455
3
120 429 440
5
53 82 177 227 374
2
358 447
5
9 334 354 397 424
1
431
4
80 272 297 346
1
334
4
106 135 306 414
2
161 346
5
10 194 293 392 417
4
224 269 388 393
2
250 313
3
130 233 297
1
348
4
85 107 111 444
3
139 168 415
2
206 416
5
108 192 278 433 458
5
24 224 274 439 466
4
126 178 224 346
2
253 338
1
102
5
4 69 82 275 417
1
357
3
28 160 265
3
39 331 367
1
348
1
215
2
137 233
1
130
2
163 366
3
314 401 408
4
57 62 221 256
5
84 220 272 293 348
5
29 224 235 405 443
2
146 302
2
243 458
1
283
1
333
2
44 435
3
214 265 356
2
3 377
3
253 352 430
1
294
4
58 75 133 142
3
220 329 386
5
47 143 166 219 458
5
36 68 189 269 387
3
21 36 314
3
116 164 426
4
17 59 75 99
4
115 224 326 393
5
22 60 254 374 444
4
35 281 318 328
5
13 240 248 373 444
5
163 231 304 318 333
1
393
5
128 293 350 415 449
4
186 244 366 457
5
165 277 307 316 377
1
374
2
331 404
5
5 219 246 269 398
1
3
5
6 115 148 173 345
1
168
4
88 301 329 453
2
82 174
5
51 59 188 284 370
1
421
4
110 340 374 438
4
299 350 448 467
3
210 294 314
5
171 185 375 393 399
3
46 61 426
1
386
5
55 128 168 395 423
5
100 195 364 460 464
5
61 165 217 338 345
2
423 457
5
40 65 183 240 429
4
10 13 330 354
1
114
5
49 199 340 370 374
3
113 388 450
2
191 259
5
19 38 220 288 298
3
263 317 454
4
1 259 366 407
3
183 312 443
2
21 340
1
371
1
143
4
77 149 216 274
3
5 108 243
1
4
3
73 142 283
4
87 117 360 399
3
257 258 429
5
17 209 307 345 404
1
73
3
99 128 422
1
62
4
31 125 175 226
2
38 469
1
111
4
69 284 371 404
3
201 258 364
1
181
3
74 139 372
1
298
5
93 251 304 409 422
1
441
1
128
3
142 269 284
5
24 115 196 360 452
1
80
5
150 190 195 260 457
1
273
5
25 26 260 317 458
4
103 401 412 453
1
350
5
5 61 158 258 357
1
224
1
71
4
107 150 171 306
3
10 360 380
5
83 113 171 225 276
3
32 177 298
5
119 283 335 348 423
4
10 87 103 391
3
41 99 347
1
374
4
96 146 155 218
1
443
5
42 164 186 415 459
4
205 276 313 454
2
286 386
1
160
1
21
3
19 153 197
5
292 313 407 409 446
2
93 266
3
21 326 352
2
235 458
4
35 54 269 344
4
94 197 407 444
2
64 322
1
311
4
75 94 190 388
3
246 387 469
1
308
2
246 462
2
190 365
4
205 352 380 396
2
89 251
4
49 102 178 233
3
202 211 225
5
183 194 298 350 414
3
44 245 376
1
246
2
38 426
1
238
5
49 255 392 413 415
3
37 121 218
1
128
4
130 180 266 428
5
35 48 125 197 444
1
220
4
94 220 272 307
4
15 150 163 227
4
294 332 444 459
3
288 315 416
1
236
4
32 137 169 180
5
84 202 251 292 449
3
127 275 322
2
17 440
5
163 286 294 438 463
1
428
3
100 108 373
2
59 330
4
112 164 369 450
4
114 127 340 428
3
225 338 382
1
17
5
159 205 364 439 449
3
186 431 432
3
82 236 369
4
66 91 380 403
1
85
2
88 388
1
29
4
200 317 443 454
2
13 200
1
219
3
348 400 410
5
68 161 225 347 407
1
431
4
78 205 277 451
1
365
4
137 164 173 386
4
158 387 432 450
5
